id,atom_counts,z_variance
2dm-560,"{'W': 3, 'Se': 4}",3.74
2dm-563,"{'Ag': 2, 'Br': 2}",1.42
2dm-564,"{'Zr': 2, 'Zn': 2}",2.36
2dm-565,"{'K': 6, 'O': 3}",0.95
2dm-6378,"{'Si': 2, 'Te': 2}",1.33
2dm-6379,"{'Sn': 1, 'Te': 1}",0.85
2dm-571,"{'La': 1, 'Ge': 3}",0
2dm-572,"{'Ga': 2, 'Se': 5}",1.38
2dm-577,"{'Ru': 2, 'Br': 6}",1.25
2dm-580,"{'Y': 1, 'Ge': 3}",0
2dm-581,"{'Tb': 2, 'Sn': 1}",2.07
2dm-582,"{'B': 4, 'O': 6}",11.21
2dm-585,"{'Sn': 6, 'N': 6}",1.72
2dm-588,"{'Zr': 2, 'Ag': 2}",2.41
2dm-590,"{'Sc': 2, 'Se': 6}",11.96
2dm-591,"{'B': 4, 'Cl': 4}",9.83
2dm-593,"{'Ag': 2, 'Cl': 2}",1.3
2dm-594,"{'In': 18, 'Se': 9}",1.5
2dm-595,"{'Zn': 1, 'F': 2}",0.81
2dm-599,"{'Bi': 8, 'C': 4}",1.83
2dm-600,"{'Au': 4, 'S': 2}",1.09
2dm-601,"{'Sn': 4, 'N': 8}",1.66
2dm-602,"{'Nb': 4, 'S': 2}",2.51
2dm-604,"{'Sc': 2, 'S': 6}",12.04
2dm-605,"{'W': 1, 'O': 3}",0.9
2dm-609,"{'B': 2, 'Se': 5}",10.83
2dm-611,"{'Sb': 8, 'O': 16}",3.01
2dm-614,"{'Eu': 1, 'As': 2}",0.87
2dm-615,"{'W': 2, 'S': 4}",1.29
2dm-616,"{'Si': 12, 'Rh': 4}",2.38
2dm-617,"{'Pb': 2, 'N': 6}",0.72
2dm-623,"{'P': 2, 'Pt': 1}",1.33
2dm-624,"{'Pt': 1, 'N': 2}",0.09
2dm-625,"{'Bi': 2, 'S': 3}",2.43
2dm-627,"{'Ir': 4, 'Pb': 12}",2.35
2dm-629,"{'Si': 2, 'Te': 2}",0.94
2dm-630,"{'P': 8, 'Pb': 4}",2.01
2dm-631,"{'Nb': 4, 'Te': 12}",2.45
2dm-633,"{'Ga': 2, 'O': 1}",1.18
2dm-634,"{'Au': 1, 'F': 1}",0.01
2dm-635,"{'Cr': 2, 'Se': 4}",1.31
2dm-6382,"{'Co': 2, 'C': 8}",9.93
2dm-640,"{'Ga': 2, 'Fe': 1}",10.31
2dm-644,"{'Ce': 2, 'Se': 6}",11.75
2dm-646,"{'Sn': 1, 'F': 2}",0.8
2dm-650,"{'Ga': 2, 'Ru': 1}",1.16
2dm-653,"{'As': 2, 'S': 3}",2.23
2dm-654,"{'Au': 2, 'Br': 2}",1.94
2dm-6383,"{'Si': 2, 'Se': 2}",1.21
2dm-656,"{'Sn': 1, 'Cl': 2}",1.24
2dm-658,"{'Bi': 6, 'C': 6}",1.37
2dm-660,"{'Sr': 2, 'As': 1}",9.73
2dm-667,"{'Au': 1, 'Cl': 1}",0.04
2dm-668,"{'Ti': 2, 'Cl': 2}",2.04
2dm-672,"{'Al': 2, 'As': 6}",0.61
2dm-675,"{'Ta': 12, 'O': 26}",3.14
2dm-676,"{'Ba': 10, 'Rh': 2}",10.4
2dm-681,"{'U': 2, 'Se': 10}",12.75
2dm-685,"{'Hf': 2, 'Cu': 2}",2.13
2dm-686,"{'Sm': 2, 'I': 6}",1.58
2dm-6384,"{'Te': 2, 'C': 2}",1.09
2dm-693,"{'Si': 12, 'Ir': 4}",2.1
2dm-699,"{'Mo': 2, 'I': 6}",1.4
2dm-700,"{'Sn': 2, 'H': 2}",10.61
