,Unnamed: 0,atom_counts,puckering
333,333,"{'Ge': 2, 'Os': 1}",Puckered
334,334,"{'B': 4, 'I': 4}",Puckered
335,335,"{'Ga': 2, 'F': 2}",Puckered
336,336,"{'Ti': 2, 'I': 2}",Puckered
337,337,"{'Ga': 1, 'Br': 1}",Puckered
338,338,"{'In': 4, 'Br': 4}",Puckered
339,339,"{'Al': 8, 'S': 6}",Puckered
340,340,"{'Hf': 2, 'F': 2}",Puckered
341,341,"{'Be': 2, 'Ir': 1}",Puckered
342,342,"{'Al': 18, 'Se': 9}",Puckered
343,343,"{'Si': 1, 'Se': 1}",Puckered
344,344,"{'Ge': 2, 'As': 6}",Puckered
345,345,"{'Hf': 2, 'Hg': 2}",Puckered
346,346,"{'Al': 2, 'Se': 2}",Puckered
347,347,"{'Tb': 2, 'I': 6}",Puckered
348,348,"{'Y': 2, 'Br': 2}",Puckered
349,349,"{'Nd': 2, 'I': 6}",Puckered
350,350,"{'Sr': 10, 'Rh': 2}",Puckered
351,351,"{'Sm': 2, 'F': 6}",Puckered
352,352,"{'Tl': 2, 'As': 6}",Puckered
353,353,"{'Ru': 8, 'Se': 10}",Puckered
354,354,"{'Al': 8, 'Te': 6}",Puckered
355,355,"{'Dy': 2, 'Br': 6}",Puckered
356,356,"{'Nb': 12, 'O': 26}",Puckered
357,357,"{'In': 18, 'Te': 9}",Puckered
358,358,"{'Ga': 18, 'Te': 9}",Puckered
359,359,"{'In': 18, 'Se': 9}",Puckered
360,360,"{'In': 18, 'Te': 9}",Puckered
361,361,"{'Ga': 18, 'Te': 9}",Puckered
362,362,"{'Mn': 6, 'I': 18}",Puckered
363,363,"{'Ga': 18, 'Se': 9}",Puckered
364,364,"{'Ni': 2, 'Sn': 8}",Puckered
365,365,"{'Be': 10, 'Rh': 2}",Puckered
366,366,"{'Zn': 3, 'Cl': 6}",Puckered
367,367,"{'Ca': 2, 'Co': 1}",Puckered
368,368,"{'Pd': 2, 'Pb': 8}",Puckered
369,369,"{'Co': 2, 'Pb': 8}",Puckered
370,370,"{'Ge': 12, 'Rh': 4}",Puckered
371,371,"{'Ga': 8, 'S': 6}",Puckered
372,372,"{'Al': 2, 'Se': 3}",Planar
373,373,"{'Au': 4, 'Se': 2}",Puckered
374,374,"{'Ca': 1, 'Pb': 2}",Puckered
375,375,"{'Ba': 2, 'Co': 1}",Puckered
376,376,"{'Mg': 2, 'Zn': 1}",Puckered
377,377,"{'Y': 1, 'Cl': 2}",Puckered
378,378,"{'Zn': 3, 'F': 6}",Puckered
379,379,"{'Ba': 2, 'Bi': 1}",Puckered
380,380,"{'Hf': 2, 'C': 4}",Puckered
381,381,"{'In': 1, 'Sb': 1}",Planar
382,382,"{'Ca': 2, 'Zn': 1}",Puckered
383,383,"{'Hf': 2, 'Zn': 2}",Puckered
384,384,"{'Ru': 2, 'I': 6}",Puckered
385,385,"{'Tl': 1, 'Sb': 1}",Planar
386,386,"{'Pu': 1, 'I': 3}",Puckered
387,387,"{'Ga': 4, 'Cl': 4}",Puckered
388,388,"{'Tb': 2, 'F': 2}",Puckered
389,389,"{'Sm': 1, 'Sn': 2}",Puckered
390,390,"{'Cr': 2, 'S': 4}",Puckered
391,391,"{'Y': 1, 'C': 3}",Planar
392,392,"{'Ca': 2, 'Ag': 2}",Puckered
393,393,"{'In': 4, 'Cl': 4}",Puckered
394,394,"{'Ti': 2, 'Sn': 4}",Puckered
395,395,"{'Pr': 1, 'Pb': 5}",Puckered
396,396,"{'Sb': 6, 'C': 2}",Puckered
397,397,"{'Ti': 2, 'C': 4}",Puckered
398,398,"{'Ge': 12, 'Ir': 4}",Puckered
399,399,"{'Tl': 2, 'Bi': 6}",Puckered
400,400,"{'In': 1, 'Bi': 1}",Planar
401,401,"{'U': 2, 'Cl': 6}",Puckered
402,402,"{'In': 1, 'As': 1}",Planar
403,403,"{'Y': 2, 'F': 2}",Puckered
