,system,atom_types,max_puckering,mean_puckering
231,alpha-α-Pb2Sb2,"{'Pb': 2, 'Sb': 2}",0.9923,0.5858
232,gamma-BC2N,"{'C': 12, 'N': 6, 'B': 6}",0.9927,0.6639
233,WS2,"{'W': 1, 'S': 2}",0.9931,0.5826
234,MoTe2,"{'Mo': 1, 'Te': 2}",0.9931,0.5846
235,MoS2,"{'Mo': 1, 'S': 2}",0.9937,0.582
236,SnP3,"{'P': 6, 'Sn': 2}",0.9942,0.637
237,Sn2Sb2,"{'Sn': 1, 'Sb': 1}",0.9943,0.502
238,Pb2Sb2,"{'Pb': 1, 'Sb': 1}",0.9944,0.5021
239,blue-P,{'P': 2},0.9987,0.5043
240,IGP-P-S,{'P': 12},0.9991,0.66
241,CaAs3,"{'Ca': 2, 'As': 6}",0.9996,0.5486
242,SiP2-Rec,"{'Si': 4, 'P': 8}",0.9996,0.6369
243,theta_P,{'P': 6},0.9997,0.5829
244,SiP2-Penta,"{'Si': 2, 'P': 4}",0.9998,0.6307
245,ICuTe2,"{'I': 2, 'Cu': 2, 'Te': 4}",0.9999,0.6501
246,CaP3,"{'Ca': 2, 'P': 6}",0.9999,0.5406
247,alpha-α-C2Sb2,"{'C': 2, 'Sb': 2}",1.0,0.4978
248,DHPP-S,{'P': 12},1.0,0.6108
249,beta-β-Pb2Bi2,"{'Pb': 2, 'Bi': 2}",1.0,0.558
250,BrCuTe2,"{'Br': 2, 'Cu': 2, 'Te': 4}",1.0,0.6499
251,DHPP-2-S,{'P': 12},1.0,0.5531
252,beta-β-Pb2Sb2,"{'Pb': 2, 'Sb': 2}",1.0,0.5663
253,alpha-α-Pb2Bi2,"{'Pb': 2, 'Bi': 2}",1.0,0.558
254,BaAs3,"{'Ba': 2, 'As': 6}",1.0,0.5589
255,alpha-α-C2Bi2,"{'C': 2, 'Bi': 2}",1.0,0.4978
256,alpha-α-Sn2N2,"{'Sn': 2, 'N': 2}",1.0,0.5003
257,alpha-α-Pb2N2,"{'Pb': 2, 'N': 2}",1.0,0.5039
258,beta-β-Pb2N2,"{'Pb': 2, 'N': 2}",1.0,0.5023
259,beta-β-Sn2N2,"{'Sn': 2, 'N': 2}",1.0,0.4971
260,Sn2Bi2,"{'Sn': 1, 'Bi': 1}",1.0,0.5049
261,beta-β-C2Sb2,"{'C': 2, 'Sb': 2}",1.0,0.493
262,BaP3,"{'Ba': 2, 'P': 6}",1.0,0.583
263,beta-β-C2Bi2,"{'C': 2, 'Bi': 2}",1.0,0.4921
